 230 	 94380  		23.64 %
 231 	 94478  		23.42 %
 232 	 93970  		22.86 %
 233 	 94342  		23.39 %
 234 	 93870  		22.64 %
 235 	 94102  		22.89 %
 236 	 93958  		22.79 %
 237 	 94560  		23.70 %
 238 	 94470  		23.75 %
 239 	 94476  		23.58 %
 240 	 94188  		23.36 %
 241 	 94222  		23.34 %
 242 	 94452  		23.38 %
 243 	 94364  		23.38 %
 244 	 94240  		23.43 %
 245 	 93994  		23.21 %
 246 	 94082  		24.07 %
 247 	 94192  		23.52 %
 248 	 94294  		23.53 %
 249 	 94246  		23.17 %
 250 	 94130  		23.32 %
 251 	 94328  		23.53 %
 252 	 94620  		23.59 %
 253 	 94524  		23.39 %
 254 	 94212  		23.39 %
 255 	 94754  		24.17 %
 256 	 94444  		23.15 %
 257 	 92978  		22.00 %
 258 	 94490  		23.36 %
 259 	 94186  		22.98 %
 260 	 93266  		21.76 %
 261 	 94644  		23.49 %
 262 	 94332  		23.46 %
 263 	 93070  		21.68 %
 264 	 93698  		22.45 %
 265 	 93220  		21.91 %
 266 	 93772  		22.50 %
 267 	 92478  		20.01 %
 268 	 92392  		21.01 %
 269 	 92436  		20.64 %
 270 	 92628  		20.91 %
 271 	 92316  		20.66 %
 272 	 92458  		20.85 %
 273 	 92384  		20.79 %
 274 	 92382  		20.52 %
 275 	 93346  		21.93 %
 276 	 93214  		21.92 %
 277 	 92450  		20.90 %
 278 	 93262  		22.13 %
 279 	 93072  		21.83 %
 280 	 92946  		21.49 %
 281 	 93320  		21.84 %
 282 	 93160  		21.71 %
 283 	 93326  		22.00 %
 284 	 93220  		21.19 %
 285 	 93928  		22.76 %
 286 	 92786  		21.31 %
 287 	 92830  		21.86 %
 288 	 92826  		21.26 %
 289 	 92462  		20.97 %
 290 	 92478  		20.95 %
 291 	 92998  		21.33 %
 292 	 92768  		21.32 %
 293 	 93186  		21.77 %
 294 	 92928  		21.57 %
 295 	 93040  		21.65 %
 296 	 92578  		20.81 %
 297 	 92758  		21.40 %
 298 	 92522  		20.82 %
 299 	 92452  		20.87 %
 300 	 92734  		21.07 %
 301 	 92448  		20.77 %
 302 	 92586  		21.03 %
 303 	 92134  		20.37 %
 304 	 92462  		20.64 %
 305 	 92602  		21.00 %
 306 	 92402  		20.71 %
 307 	 92280  		20.56 %
 308 	 92776  		21.04 %
 309 	 92848  		21.37 %
 310 	 92950  		21.51 %
 311 	 93890  		22.64 %
 312 	 92584  		20.88 %
 313 	 92836  		21.03 %
 314 	 92264  		20.47 %
 315 	 92464  		21.01 %
 316 	 92374  		20.95 %
 317 	 92940  		21.13 %
 318 	 92574  		20.98 %
 319 	 92290  		20.75 %
 320 	 91836  		20.28 %
 321 	 92282  		20.94 %
 322 	 92350  		20.73 %
 323 	 92996  		21.41 %
 324 	 93612  		22.38 %
 325 	 93534  		22.15 %
 326 	 92198  		20.62 %
 327 	 92090  		20.59 %
 328 	 91828  		20.15 %
 329 	 92226  		20.32 %
 330 	 92284  		20.87 %
 331 	 92342  		20.74 %
 332 	 91990  		20.59 %
 333 	 92252  		20.38 %
 334 	 92072  		20.32 %
 335 	 91824  		20.03 %
 336 	 92002  		20.36 %
 337 	 92338  		20.81 %
 338 	 92034  		20.38 %
 339 	 91916  		20.18 %
 340 	 91888  		20.03 %
 341 	 92242  		20.50 %
 342 	 92146  		20.57 %
 343 	 92160  		20.44 %
 344 	 91916  		22.05 %
 345 	 91886  		21.61 %
 346 	 91872  		22.14 %
 347 	 91690  		22.23 %
 348 	 91638  		22.02 %
 349 	 91798  		22.83 %
